cg00000734,CNBP
cg04420138,ZBTB16
cg04423187,BRD4
cg04423188,PRDM16
cg04423294,LPP
cg04424721,CREB3L1
cg04428700,HOXA13
cg04432009,LYL1
cg04432137,CREBBP
cg04433151,CARS
cg04434147,CBLC
cg04436772,DNMT3A
cg04438595,SPEN
cg04439252,STAT3
cg04441577,LPP
cg04443233,PCM1
cg04444661,LIFR
cg04448477,PDGFRA
cg04451564,ETV5
cg04452534,MAP3K1
cg04452906,KCNJ5
cg04453550,TNFRSF17
cg04455643,NCOA4
cg04456238,WT1
cg04458023,LRP1B
cg04459504,FAT4
cg04462378,NUMA1
cg04467803,BCL6
cg04467958,PCM1
cg04469016,CBFA2T3
cg04471176,U2AF1
cg04472009,CREB3L2
cg04477010,WHSC1L1
cg04478795,SMO
cg04479876,LIFR
cg04481584,SDHA
cg04483101,TP63
cg04483711,PRDM16
cg04485988,FAM46C
cg04486382,MSI2
cg04487155,CTCF
cg04487904,NSD1
cg04488476,DAXX
cg04489243,TP63
cg04489856,MLLT6
cg04490596,NRG1
cg04492228,GATA3
cg04493316,PRDM16
cg04495969,FBXO11
cg04497094,CLTC
cg04498349,GRIN2A
cg04499029,LYL1
cg04499214,PRDM16
cg04499648,MYOD1
cg04499792,RNF213
cg04500730,PRDM16
cg04501571,CBFB
cg04503093,SND1
cg04503267,LCK
cg04506553,CAMTA1
cg04509221,PRDM16
cg04509825,HIF1A
cg04510153,DDR2
cg04510874,FES
cg04513185,CXCR4
cg04513311,CBFA2T3
cg04514556,FOXP1
cg04514998,DDX10
cg04515572,TSC2
cg04517036,STAT3
cg04518274,EPAS1
cg04522821,ZNF331
cg04524431,TERT
cg04526883,TERT
cg04528116,LRP1B
cg04529602,PRKACA
cg04531756,MYB
cg04535236,GATA2
cg04535746,MITF
cg04535966,LPP
cg04536432,USP6
cg04536893,CDH11
cg04537170,RARA
cg04540712,CBFA2T3
cg04541293,PTPRT
cg04542977,EPS15
cg04544154,ELF4
cg04544475,RNF43
cg04544533,NCOR2
cg04545079,CTCF
cg04549460,RSPO2
cg04549703,SPEN
cg04550398,SMARCD1
cg04550740,MYO5A
cg04552206,TLX1
cg04552531,PDGFB
cg04555373,NRG1
cg04557665,TCF7L2
cg04557677,JAK3
cg04557695,CDK6
cg04560503,TRRAP
cg04561822,GNA11
cg04563046,RUNX1T1
cg04566359,FAM46C
cg04568265,FAM46C
cg04569429,LASP1
cg04571604,UBR5
cg04573500,MSI2
cg04574732,ABL2
cg04575263,RBM15
cg04578738,TAF15
cg04583149,STK11
cg04586748,ZBTB16
cg04588436,BCL11A
cg04590170,LMO2
cg04591734,CUX1
cg04594027,POT1
cg04597389,ASPSCR1
cg04598300,STAT3
cg04602787,FIP1L1
cg04602992,CD79B
cg04604708,CREB3L2
cg04605504,PRDM16
cg04606397,ARID1B
cg04606653,CBFA2T3
cg04609482,SOCS1
cg04609952,MYCN
cg04609959,CBFA2T3
cg04610589,PPP2R1A
cg04617905,RUNX1T1
cg04618969,CUX1
cg04625338,EGFR
cg04626565,MAF
cg04626878,PTK6
cg04627496,NTRK3
cg04628008,ZBTB16
cg04632671,PPARG
cg04635277,TCF7L2
cg04638773,PTEN
cg04643513,MSI2
cg04648087,TSC1
cg04648440,BRD3
cg04649420,SS18L1
cg04651042,SFRP4
cg04651658,AFF4
cg04652282,PREX2
cg04654677,RNF43
cg04658021,PER1
cg04659901,ALK
cg04663956,NF1
cg04667586,MDM2
cg04667640,ZFHX3
cg04672026,NCOA2
cg04674248,PRDM16
cg04675204,GRIN2A
cg04677410,MAML2
cg04683068,DNMT3A
cg04685003,CLTC
cg04685186,FGFR1
cg04688351,PAX3
cg04691540,ABL2
cg04691869,POU5F1
cg04691908,FLI1
cg04696274,SDC4
cg04697056,FAT1
cg04699663,CBFA2T3
cg04700292,ZFHX3
cg04702660,NKX2-1
cg04709357,HOXA11
cg04709931,MAP2K1
cg04712122,BCL11B
cg04717045,CCND1
cg04720380,RPL5
cg04720592,FAM46C
cg04720785,CDKN2C
cg04724489,SND1
cg04725426,TSC2
cg04725669,CDK6
cg04726661,TOP1
cg04727865,HOXC13
cg04732910,MDM2
cg04739200,MYB
cg04741211,EML4
cg04742135,FGFR3
cg04745805,STAT5B
cg04748988,PPARG
cg04749197,NUMA1
cg04749873,NCOA2
cg04751297,BCOR
cg04751886,KDM5C
cg04755662,AR
cg04755848,CDH11
cg04760602,FIP1L1
cg04760708,CBFA2T3
cg04761722,GRIN2A
cg04762347,AFF1
cg04763085,TRRAP
cg04768312,MED12
cg04770025,ATM
cg04770433,NCOR2
cg04772086,CDKN2C
cg04773529,LPP
cg04773818,NRG1
cg04777024,MLH1
cg04777881,PPFIBP1
cg04779428,GNAS
cg04780629,RNF43
cg04780880,KTN1
cg04780984,RNF43
cg04781916,MSH6
cg04783896,ETV5
cg04784316,ERBB4
cg04784499,ASPSCR1
cg04784842,FGFR3
cg04788418,GAS7
cg04790874,CD79A
cg04791477,PTPRK
cg04792644,ARID1B
cg04793090,CNBP
cg04794420,ERBB3
cg04794662,FOXP1
cg04795713,HLF
cg04798930,STRN
cg04799736,LRIG3
cg04804052,SMARCA4
cg04804139,NCOR2
cg04807669,FLI1
cg04808813,AXIN1
cg04809597,SMAD3
cg04809622,STAT5B
cg04811592,MITF
cg04814450,ZFHX3
cg04814784,VHL
cg04817870,ASPSCR1
cg04818078,CREBBP
cg04819096,HOXC13
cg04820078,TRIP11
cg04820159,AKT1
cg04820200,DDX3X
cg04835383,TRIM27
cg04835638,FHIT
cg04837309,CUX1
cg04841196,PDGFRB
cg04847830,TSC2
cg04849878,FGFR4
cg04850976,CREBBP
cg04852443,PRDM16
cg04853284,FES
cg04854025,ATF1
cg04855107,FOXO3
cg04855369,PRDM16
cg04858164,TCF12
cg04858597,MAF
cg04860563,TP63
cg04863679,TBL1XR1
cg04865506,NF1
cg04867423,DDR2
cg04868376,CDH11
cg04869770,PBX1
cg04873098,PRDM16
cg04874074,CAMTA1
cg04875709,CDKN1B
cg04876124,PRDM16
cg04878697,PPFIBP1
cg04880940,TAF15
cg04882216,PRDM16
cg04882222,PRDM16
cg04882365,PRDM16
cg04884481,BCL11B
cg04885673,PDE4DIP
cg04885832,NSD1
cg04886514,AR
cg04887172,CBFA2T3
cg04890607,HMGA2
cg04890770,ETNK1
cg04897621,NR4A3
cg04898487,GRIN2A
cg04900186,IKZF1
cg04902458,FGFR3
cg04906740,FLT3
cg04907885,PRDM16
cg04908300,PPARG
cg04908472,TCF7L2
cg04910183,CDC73
cg04910662,ZFHX3
cg04910877,CBFA2T3
cg04911180,TBL1XR1
cg04911739,MLLT6
cg04913246,BCL11B
cg04914013,CAMTA1
cg04915566,RUNX1
cg04915777,BRAF
cg04916091,JAK3
cg04916416,TGFBR2
cg04916984,PTPN11
cg04919489,ARHGEF12
cg04920428,CLTC
cg04920689,NTRK3
cg04923604,NFATC2
cg04924555,ARID1B
cg04924962,BCOR
cg04925129,WWTR1
cg04927657,KDM5C
cg04927982,KDM5C
cg04928096,AXIN1
cg04929428,ARID2
cg04930596,NCOR2
cg04932551,FOXA1
cg04933990,GRIN2A
cg04936632,ERBB2
cg04939480,HMGA2
cg04945379,CIITA
cg04948941,HIF1A
cg04949193,ARID1B
cg04949206,HOXD11
cg04950423,NCOR2
cg04952622,LPP
cg04953732,TCF7L2
cg04956244,RARA
cg04959572,MN1
cg04964562,PLCG1
cg04964702,CBL
cg04967734,DDX10
cg04971362,TLX3
cg04971812,AKT1
cg04972748,PRDM16
cg04973788,DAXX
cg04974499,PRDM16
cg04974584,RSPO3
cg04977618,CDH11
cg04977858,PAX7
cg04979551,CREBBP
cg04980002,CAMTA1
cg04981556,TRRAP
cg04982619,CYLD
cg04986694,CYLD
cg04987122,TRAF7
cg04987827,PRKAR1A
cg04988794,PRDM16
cg04991071,FOXP1
cg04992335,BCOR
cg04992875,MSI2
cg04994202,ZFHX3
cg04996852,CREBBP
cg04998696,SRC
cg04999441,CANT1
cg04999945,CIITA
cg05000748,RUNX1
cg05002580,ARID1B
cg05005422,CUX1
cg05008218,FOXO3
cg05009066,ABL2
cg05011232,ETV4
cg05011838,BCL11B
cg05012697,NTRK3
cg05012785,ZRSR2
cg05013129,NAB2
cg05019001,AR
cg05019488,CREB1
cg05019807,NOTCH1
cg05025239,RSPO2
cg05026473,RB1
cg05026884,BCOR
cg05028071,TFE3
cg05032348,NUMA1
cg05035183,EZR
cg05035508,PRDM16
cg05039065,MSH6
cg05039671,RHOH
cg05041511,CREB3L2
cg05042938,PRRX1
cg05043952,RAC1
cg05048043,LPP
cg05048057,CAMTA1
cg05048259,CAMTA1
cg05049160,MYH9
cg05049639,CUX1
cg05049980,EPAS1
cg05052324,PAX7
cg05052463,FBXW7
cg05056120,EBF1
cg05056142,PREX2
cg05057515,CBFA2T3
cg05061886,MN1
cg05062620,HERPUD1
cg05064645,EGFR
cg05065989,HOXA9
cg05066631,BCOR
cg05066722,CARD11
cg05068533,CCND1
cg05068597,TERT
cg05068777,SND1
cg05072063,NRG1
cg05073845,FOXO1
cg05074709,TGFBR2
cg05078611,KCNJ5
cg05080877,WHSC1
cg05090835,PAFAH1B2
cg05093535,AFF3
cg05096777,SUFU
cg05098381,FOXP1
cg05098425,PRDM16
cg05099063,ARID1B
cg05099464,ARHGEF12
cg05099708,CBFA2T3
cg05100261,RPL10
cg05100282,BCL11B
cg05100634,SMAD2
cg05101437,CDK6
cg05117823,PRDM16
cg05118638,FAT4
cg05121697,CDKN1B
cg05129050,CAMTA1
cg05129081,TP63
cg05130485,CASP8
cg05131254,TNFAIP3
cg05131488,ETV1
cg05136528,NF2
cg05139924,LZTR1
cg05141289,TCF12
cg05141578,SUFU
cg05143954,UBR5
cg05145297,HIP1
cg05145454,TPM3
cg05146205,CUX1
cg05146683,SS18
cg05147195,DAXX
cg05147525,CHD4
cg05148130,HSP90AB1
cg05151055,CREBBP
cg05151621,CBFA2T3
cg05153364,CCND2
cg05153380,ARHGAP26
cg05153735,BRCA2
cg05154615,SETBP1
cg05157171,HLA-A
cg05158165,FOXO3
cg05160248,ARID1B
cg05161529,NF1
cg05161923,ETV6
cg05163056,CSF3R
cg05164185,CCND1
cg05165825,GAS7
cg05168344,LZTR1
cg05170275,PRDM1
cg05170863,EIF3E
cg05171367,HIP1
cg05171584,ESR1
cg05174710,RUNX1
cg05177519,FGFR1
cg05179038,BCL11B
cg05180856,FES
cg05181221,SOCS1
cg05184882,MSI2
cg05185926,ARHGAP26
cg05186704,TNFRSF17
cg05187826,CCDC6
cg05190315,TLX3
cg05191454,CCND3
cg05194552,CREBBP
cg05195700,SETBP1
cg05200311,DEK
cg05200606,CCND1
cg05200893,BCOR
cg05203875,FGFR3
cg05204171,ARHGAP26
cg05206789,AFF1
cg05207107,ERBB3
cg05207583,EGFR
cg05211768,FES
cg05214047,MAP3K1
cg05215598,ELF4
cg05216056,TRIM27
cg05222850,CREB3L2
cg05222924,WT1
cg05223638,PRDM16
cg05225993,EZH2
cg05226646,BCOR
cg05227773,ZFHX3
cg05229311,SET
cg05231098,SMARCA4
cg05231706,RAC1
cg05236705,CCNE1
cg05237374,GPHN
cg05238769,OLIG2
cg05240948,CBFA2T3
cg05240982,TRIM27
cg05241619,CIITA
cg05245226,LMO1
cg05245319,CBFB
cg05246100,EGFR
cg05250874,MLLT6
cg05250953,CDK6
cg05251593,MSI2
cg05252062,CUX1
cg05256269,HOXD13
cg05258123,CUX1
cg05262631,SETD2
cg05264446,BCL6
cg05264472,SDHA
cg05264510,ZNF331
cg05265611,PRDM16
cg05266437,CSF3R
cg05266474,BCL11B
cg05267735,CBFA2T3
cg05270552,MAML2
cg05273429,WHSC1
cg05277504,ASPSCR1
cg05277991,MITF
cg05278074,CDK6
cg05284727,WHSC1
cg05285228,POT1
cg05285441,CAMTA1
cg05287690,FBXW7
cg05290658,EPAS1
cg05293407,TRIM27
cg05293738,PREX2
cg05295557,NKX2-1
cg05295594,EZH2
cg05297437,GNAS
cg05299185,LPP
cg05299398,FLI1
cg05300440,ARID1A
cg05302100,COL1A1
cg05303524,CXCR4
cg05303586,EPS15
cg05303690,NRG1
cg05303728,NRG1
cg05304405,FSTL3
cg05306024,SND1
cg05306134,TCF3
cg05306176,KDSR
cg05306441,TSC2
cg05307957,ARID1A
cg05311119,FGFR3
cg05312964,EML4
cg05314350,TRIM27
cg05315206,JAK3
cg05316006,TCF7L2
cg05322342,TSC2
cg05323533,PHOX2B
cg05325705,DAXX
cg05329960,QKI
cg05331143,MYO5A
cg05332869,TOP1
cg05333968,FAT1
cg05335107,RANBP2
cg05338009,ZNF331
cg05338066,CAMTA1
cg05338083,BIRC3
cg05340489,CYLD
cg05341781,PBX1
cg05342945,COL2A1
cg05343184,PRDM16
cg05344046,NUP98
cg05347965,MSI2
cg05349042,BCL9
cg05350315,LCK
cg05354904,CBFA2T3
cg05354921,PRDM16
cg05354929,PIM1
cg05359518,TCF12
cg05361458,CBFA2T3
cg05364570,ZFHX3
cg05365033,CRTC1
cg05366166,ZNF521
cg05366475,ZFHX3
cg05368033,FGFR2
cg05368275,DDX5
cg05368942,RBM15
cg05369547,FLI1
cg05370094,CBFA2T3
cg05370802,GNA11
cg05370881,NCOR2
cg05370988,EIF4A2
cg05371498,CIITA
cg05375699,PRDM16
cg05378941,FOXO1
cg05380455,CAMTA1
cg05381287,CAMTA1
cg05384123,FOXP1
cg05385248,CCDC6
cg05387189,NRG1
cg05392792,TPM3
cg05395187,NCOR2
cg05399036,FOXP1
cg05400741,TET1
cg05402599,FEV
cg05404618,CBLB
cg05406943,GRIN2A
cg05412141,KLF6
cg05412410,CARD11
cg05412906,HSP90AA1
cg05416643,SMAD4
cg05418333,CUX1
cg05426160,MYH11
cg05431670,DAXX
cg05438378,SMAD3
cg05442717,RARA
cg05444556,CBFA2T3
cg05445839,ARID1A
cg05448137,ASPSCR1
cg05450629,IDH2
cg05450916,TGFBR2
cg05450995,BCL7A
cg05452524,HLF
cg05452618,TERT
cg05455876,TRAF7
cg05456662,USP8
cg05466469,ARID1B
cg05469826,CUX1
cg05470963,ARHGAP26
cg05471373,ATM
cg05472998,RUNX1T1
cg05473496,BCOR
cg05474370,EBF1
cg05475904,BCL10
cg05476287,FGFR4
cg05478824,ASPSCR1
cg05480021,RPN1
cg05481981,CBFA2T3
cg05487134,STAT3
cg05489661,CBFA2T3
cg05490591,MSI2
cg05492387,RAP1GDS1
cg05495155,CBLC
cg05498681,SRC
cg05500840,HOXD11
cg05501721,CRTC1
cg05502279,RNF213
cg05503307,WHSC1L1
cg05506979,AFF4
cg05508592,HRAS
cg05511752,MED12
cg05512684,ERBB2
cg05514743,DNAJB1
cg05516390,ZFHX3
cg05516423,FAT1
cg05516617,HOXA11
cg05517400,CDK6
cg05519431,PTPN13
cg05519781,ERG
cg05520109,PRDM16
cg05521538,TERT
cg05523085,MYO5A
cg05523267,AXIN1
cg05523662,HLA-A
cg05527996,LMO2
cg05529922,ERC1
cg05530517,PIM1
cg05530568,EBF1
cg05530630,EGFR
cg05531174,CBFA2T3
cg05532204,DAXX
cg05537387,EGFR
cg05540133,CBFA2T3
cg05540473,ARID1B
cg05543909,ZFHX3
cg05544807,DNMT3A
cg05546044,MAPK1
cg05548945,LPP
cg05549077,FOXP1
cg05551217,SPOP
cg05556210,ZFHX3
cg05556361,RUNX1T1
cg05557932,CREBBP
cg05557991,CBFA2T3
cg05558046,GAS7
cg05558539,NCOR2
cg05559023,BCOR
cg05560635,MSI2
cg05563672,TMPRSS2
cg05564340,U2AF1
cg05568549,CCND3
cg05570682,IKBKB
cg05570707,C2orf44
cg05572568,TRRAP
cg05573182,MAFB
cg05573412,PRDM16
cg05573856,TRRAP
cg05577278,RAD21
cg05577293,CUX1
cg05579598,CBFA2T3
cg05587627,DDX6
cg05594872,TRIM27
cg05596926,NCOR2
cg05598562,FLT3
cg05598969,JAK1
cg05601201,FOXO3
cg05601844,EP300
cg05605257,ETV1
cg05607271,RAP1GDS1
cg05608159,PIK3R1
cg05608388,CRTC1
cg05608588,TRRAP
cg05618183,FUS
cg05619425,AFF4
cg05621401,RET
cg05622550,PML
cg05626094,TSC2
cg05628625,PRDM16
cg05635754,JAK3
cg05636603,ASPSCR1
cg05637360,PPFIBP1
cg05638821,JAK1
cg05641535,PRDM16
cg05645292,FHIT
cg05647891,FBXW7
cg05649922,ARID1A
cg05650453,CAMTA1
cg05652102,RET
cg05652455,MLLT6
cg05655647,ATF1
cg05656251,PRDM16
cg05656590,MECOM
cg05656855,TRIM27
cg05657416,HIST1H4I
cg05657651,RHOA
cg05658107,RHOH
cg05663031,BCL6
cg05667158,CCND2
cg05668405,TRIM27
cg05669848,SDHA
cg05670865,TRIM27
cg05672074,SETBP1
cg05674052,CUX1
cg05677478,FUBP1
cg05682561,SFRP4
cg05685023,LPP
cg05685296,BCOR
cg05686197,LRP1B
cg05691168,ATIC
cg05694840,MYOD1
cg05697231,PML
cg05701125,SOCS1
cg05702747,CBFA2T3
cg05704496,ZFHX3
cg05707781,LPP
cg05708629,CAMTA1
cg05710479,CAMTA1
cg05711609,BCL9
cg05712073,ZNF384
cg05712300,PRDM16
cg05713971,HERPUD1
cg05718034,CAMTA1
cg05721377,MAP2K4
cg05721877,BCOR
cg05722504,PHOX2B
cg05723179,CREB3L2
cg05723219,FAT1
cg05724110,OLIG2
cg05724997,BCL2
cg05725148,PRDM16
cg05725797,RAC1
cg05726118,CTNNB1
cg05726935,AKT1
cg05727155,CREB1
cg05729581,CARS
cg05730996,SOCS1
cg05734400,ATIC
cg05738749,HLA-A
cg05742247,RSPO2
cg05743054,MLF1
cg05751310,CBFA2T3
cg05752207,CDC73
cg05752664,TSC2
cg05754435,KDR
cg05755889,PRDM16
cg05761734,FLI1
cg05762680,LPP
cg05763032,PAX7
cg05764102,ZFHX3
cg05766140,IRF4
cg05766251,LASP1
cg05766667,SOCS1
cg05768620,NUMA1
cg05771459,PDE4DIP
cg05771518,HOXC13
cg05774756,EBF1
cg05776704,WWTR1
cg05780311,STAT5B
cg05784201,NOTCH1
cg05785344,BCORL1
cg05785554,JAK2
cg05785811,CAMTA1
cg05785947,CDH1
cg05786601,AR
cg05786661,KIT
cg05787507,LCK
cg05787556,TLX3
cg05789974,TRAF7
cg05790380,PRDM16
cg05791946,PRDM16
cg05792022,FOXO1
cg05792124,TRIM33
cg05793409,SFPQ
cg05796838,JAK3
cg05800837,ETV5
cg05801648,SYK
cg05803741,SPEN
cg05804170,PRDM16
cg05804299,PBX1
cg05804339,BCOR
cg05805987,EIF3E
cg05806577,ARNT
cg05807672,RBM15
cg05810369,FGFR1
cg05811904,CREB3L2
cg05814654,IL21R
cg05819371,BTG1
cg05819837,CUX1
cg05824218,RARA
cg05824755,NOTCH2
cg05839762,HLA-A
cg05841486,SH2B3
cg05842762,LPP
cg05843430,SF3B1
cg05844827,MSI2
cg05844832,ERBB4
cg05844895,CBFA2T3
cg05845765,CUX1
cg05846851,GRIN2A
cg05850377,QKI
cg05853039,MSI2
cg05855116,CUX1
cg05855490,WIF1
cg05856931,MSI2
cg05857060,HIP1
cg05858920,BCL2
cg05861515,NRG1
cg05865769,MAP2K4
cg05866062,MAP2K1
cg05868799,NCOA2
cg05873078,CNBP
cg05874355,NUMA1
cg05877143,BCL2
cg05889881,TCF3
cg05891054,STAT5B
cg05893602,PER1
cg05896193,DNMT3A
cg05897030,PPFIBP1
cg05897394,GNA11
cg05898452,EGFR
cg05898524,LMNA
cg05898629,CREBBP
cg05900538,MAML2
cg05901196,CCDC6
cg05901579,NTRK3
cg05902273,SOCS1
cg05902522,WWTR1
cg05907082,POLE
cg05910443,CUX1
cg05912079,LIFR
cg05913198,MLLT10
cg05914150,PIK3R1
cg05915866,ZFHX3
cg05917508,CDX2
cg05918135,ETV1
cg05918327,ZFHX3
cg05921699,CD79A
cg05922545,TCF3
cg05923681,PBRM1
cg05923785,LIFR
cg05923857,TCF7L2
cg05924065,NPM1
cg05924428,TRRAP
cg05924746,FUS
cg05926269,GNAS
cg05927173,MYC
cg05928656,CBFA2T3
cg05933224,TSHR
cg05933762,NR4A3
cg05934698,HNF1A
cg05934984,TERT
cg05935086,KLK2
cg05940202,RAD21
cg05940984,WT1
cg05941904,FLT4
cg05942128,HOXD11
cg05943554,EPAS1
cg05945943,BCL2
cg05946161,BCOR
cg05946169,MLLT10
cg05946827,NKX2-1
cg05948411,NCOR2
cg05950755,JAK3
cg05951044,SS18
cg05952379,PRDM16
cg05953180,MDM2
cg05953373,CBFA2T3
cg05953549,HERPUD1
cg05957285,ERC1
cg05957567,BCL7A
cg05960039,GNAS
cg05961707,NT5C2
cg05965745,PRDM16
cg05966149,HOOK3
cg05966228,CTCF
cg05966431,CAMTA1
cg05967123,PRCC
cg05967129,SND1
cg05968213,TSC2
cg05968369,PRDM16
cg05969150,ZFHX3
cg05971321,TSC2
cg05971911,SETD2
cg05972185,ZFHX3
cg05973398,RUNX1
cg05973498,NCOA2
cg05974269,GNAS
cg05976623,ROS1
cg05976714,FLT4
cg05977021,CDK6
cg05977259,FBXO11
cg05978254,DDX10
cg05985073,CTNNB1
cg05986781,SND1
cg05987650,CCND2
cg05987705,TNFAIP3
cg05987933,FGFR4
cg05988219,AXIN1
cg05993834,MKL1
cg05994672,NDRG1
cg05994794,PHOX2B
cg05997059,MET
cg05997941,FEV
cg05999287,MET
cg06003296,PTPRB
cg06004017,MN1
cg06008158,PCM1
cg06010380,BCOR
cg06010390,CUX1
cg06012428,ARID1B
cg06015203,NIN
cg06015645,SETBP1
cg06018531,MAF
cg06018748,LRIG3
cg06019273,ARID1B
cg06020842,SETD2
cg06020978,ABI1
cg06021189,TRIM27
cg06022832,NCOA1
cg06024623,NCOR2
cg06027254,BCL6
cg06032349,ERG
cg06033488,FOXP1
cg06034437,VHL
cg06034664,MLLT4
cg06043190,EML4
cg06044900,GNAS
cg06046629,CACNA1D
cg06047473,TCEA1
cg06047881,GNAS
cg06048750,KLF6
cg06052090,EGFR
cg06058319,PPFIBP1
cg06059616,RSPO2
cg06060868,SDHA
cg06060874,PRDM16
cg06066568,SETD2
cg06067573,H3F3B
cg06070445,BCL6
cg06070625,MITF
cg06070644,SLC34A2
cg06072021,FLI1
cg06077003,CAMTA1
cg06077821,FLT4
cg06078469,MSI2
cg06081361,PRDM16
cg06081557,CAMTA1
cg06082432,SOCS1
cg06082804,FGFR2
cg06082897,CAMTA1
cg06083412,NCOA2
cg06086177,ZFHX3
cg06087298,FAM46C
cg06087421,TAL1
cg06090421,PPM1D
cg06093355,EPAS1
cg06094085,TSC2
cg06097216,CNBP
cg06098146,POLE
cg06098215,NCOA4
cg06099439,PRDM16
cg06101225,STIL
cg06104935,CUX1
cg06105699,ASPSCR1
cg06106793,PRCC
cg06108288,ARID1B
cg06112956,DNMT3A
cg06115614,GATA2
cg06118478,COL2A1
cg06119575,TAL2
cg06119628,PRCC
cg06120425,ACVR2A
cg06122016,RBM10
cg06125461,CDH11
cg06126060,TRIM27
cg06130144,MEN1
cg06130714,GAS7
cg06136432,AXIN2
cg06140996,CARD11
cg06141123,NFE2L2
cg06143971,HRAS
cg06145669,NR4A3
cg06147366,FGFR1OP
cg06147752,HIP1
cg06147822,GNAS
cg06148118,LMO2
cg06149271,CAMTA1
cg06154419,H3F3B
cg06154860,ETV1
cg06158944,RAP1GDS1
cg06161814,SFRP4
cg06161915,SND1
cg06162279,KLF6
cg06163216,HRAS
cg06164260,BCL6
cg06171013,DAXX
cg06172475,FLI1
cg06173509,CARD11
cg06173663,CUX1
cg06175008,FOXP1
cg06176124,CBLB
cg06178299,PAX7
cg06182018,LIFR
cg06182121,PRDM16
cg06183267,AFF3
cg06185532,ZFHX3
cg06185555,ERBB2
cg06191068,CANT1
cg06193383,GRIN2A
cg06196466,NCOR2
cg06197769,CDKN1B
cg06200494,NAB2
cg06200611,RAC1
cg06201393,MECOM
cg06204009,ATP2B3
cg06204040,CBFA2T3
cg06204938,NCOR2
cg06205074,ASPSCR1
cg06207852,MKL1
cg06209689,TAL1
cg06210147,STAT5B
cg06211525,PRDM16
cg06211872,TBX3
cg06211904,FOXO3
cg06215798,PBX1
cg06215859,CBFA2T3
cg06216309,CUX1
cg06216400,MUC1
cg06217803,SMO
cg06219337,YWHAE
cg06219670,MAML2
cg06219686,NF1
cg06220235,SOCS1
cg06220449,PAX7
cg06221087,PBX1
cg06223767,IRF4
cg06224893,DNMT3A
cg06225767,ETV6
cg06227406,PTPRB
cg06233593,AXIN1
cg06234765,CLTCL1
cg06234863,MSI2
cg06236559,SMAD2
cg06238300,ASPSCR1
cg06238409,MECOM
cg06240409,GRIN2A
cg06241380,CTCF
cg06241812,FOXP1
cg06242243,NCOR2
cg06243191,FOXP1
cg06243965,TSC2
cg06246474,CUX1
cg06247967,MSI2
cg06253058,WWTR1
cg06256295,HSP90AB1
cg06258179,CDK6
cg06258549,PRDM16
cg06261500,SND1
cg06270049,TGFBR2
cg06270074,FBXW7
cg06270615,STAT3
cg06279414,TRIP11
cg06286962,FAT1
cg06287140,BCL7A
cg06291211,CBLB
cg06291334,SPOP
cg06294954,CUX1
cg06295404,SOCS1
cg06296553,NCOR2
cg06297005,CARD11
cg06298701,NCOA4
cg06299307,GRIN2A
cg06303238,SALL4
cg06303875,CDX2
cg06310285,CACNA1D
cg06313241,PRDM16
cg06317348,BCL11B
cg06324021,PRCC
cg06325209,DDR2
cg06325889,USP6
cg06326591,CUX1
cg06326865,CBFA2T3
cg06327596,MAF
cg06329143,SMAD4
cg06330323,TSC2
cg06330375,TSC2
cg06330618,FES
cg06332859,CXCR4
cg06338150,NOTCH1
cg06339542,GAS7
cg06341731,BCL11B
cg06344211,MYH9
cg06348826,PRDM16
cg06354193,PRDM16
cg06357807,MYB
cg06359884,FHIT
cg06365412,TP53
cg06367135,PRDM16
cg06370771,PAX7
cg06373011,ETV4
cg06376277,FGFR4
cg06376940,DDX3X
cg06377635,GAS7
cg06378010,ERC1
cg06378498,STAT3
cg06378976,TFEB
cg06379192,PRDM16
cg06380199,PRDM16
cg06380459,RNF213
cg06381966,ZFHX3
cg06382546,LRP1B
cg06382559,TLX1
cg06386929,TRIM24
cg06387245,AXIN1
cg06388946,EPAS1
cg06390643,ETV5
cg06391412,FOXP1
cg06391660,DCTN1
cg06392169,IRF4
cg06392318,RSPO3
cg06394058,CBFA2T3
cg06394082,BCL9L
cg06394247,PAX5
cg06395692,TRIM27
cg06397379,NRG1
cg06397398,ZNF331
cg06397837,HOXA13
cg06398735,MLLT10
cg06401851,FUS
cg06403317,TCF7L2
cg06404238,CUX1
cg06404838,PAFAH1B2
cg06405341,AXIN2
cg06410537,TLX3
cg06412917,NCOR2
cg06415582,PTPN13
cg06417454,ATIC
cg06417522,PRKAR1A
cg06418464,TCF3
cg06422659,NAB2
cg06425919,MYOD1
cg06428055,ELF4
cg06431105,ELL
cg06432462,GNAQ
cg06432479,TAL1
cg06436854,CBFA2T3
cg06437464,RSPO3
cg06444781,HNF1A
cg06445533,TSC2
cg06445873,CTCF
cg06445944,PIK3R1
cg06447122,PRDM16
cg06448249,CD79A
cg06455032,BCL3
cg06456059,LASP1
cg06457011,PLCG1
cg06458795,CYLD
cg06460328,CBFA2T3
cg06460652,FGFR4
cg06470804,FLT4
cg06471596,CUX1
cg06475370,ZNF331
cg06478094,MSH2
cg06478987,MAP3K1
cg06481699,CUX1
cg06482044,FUS
cg06483432,KIT
cg06483978,ASPSCR1
cg06485114,FLT4
cg06490988,GATA2
cg06493289,ZBTB16
cg06493829,PLCG1
cg06494091,GNAQ
cg06495728,BCL6
cg06496041,ERG
cg06496829,WWTR1
cg06502868,H3F3B
cg06506560,RARA
cg06510621,CBFA2T3
cg06513977,DAXX
